name	university	text	link
Chemistry B.S.	University of California, Los Angeles	The Chemistry/Materials Science major is designed for students who are interested in chemistry with an emphasis on material properties and provides students the opportunity to gain expertise in both chemistry and the science and engineering in materials such as semiconductors, photonic materials, polymers, biomaterials, ceramics, and nano-scale structures. Students explore the reactivity of such materials in different environments and gain understanding of how chemical compositions affect properties. The major provides appropriate preparation for graduate studies in many fields emphasizing interdisciplinary research, including chemistry, engineering, and applied science.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=153
Central and East European Languages and Cultures B.A.	University of California, Los Angeles	The major in Central and East European Languages and Cultures is designed to provide students with a mastery of one language of central or eastern Europe and familiarity with the literature, as well as general background in the cultural, political, and social history of the Slavic peoples.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=845
Business Economics B.A.	University of California, Los Angeles	The Business Economics BA program offers a major for students seeking a business orientation in their study of economics. It does not replicate the traditional undergraduate business school curriculum. Instead, it offers a more tightly focused curriculum that is guided by the rigorous logic and integrative perspective of economics. It is designed to prepare students for graduate education in business, economics, and law. The program requires students to include specific courses offered by the department and the John E. Anderson Graduate School of Management.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=144
Biophysics B.S.	University of California, Los Angeles	The goal of the Biophysics major is to provide students with an undergraduate background that will enable them to enter competitive graduate programs in biophysics, molecular biology, and biological physics. It also aims at providing students with a solid, quantitative background for careers in the medical field of the future as well as in molecular biology, neuroscience, and biological physics which are all emerging as important and rapidly developing areas of physics. The major is designed to provide students with a flexible scientific/technical training that allows them to explore these different career paths and tailor their class work to their scientific interests. The program aims at providing an opportunity to the students to become scientific leaders, bringing the analytic and experimental techniques of different fields to bear on the fascinating world of the physics of living systems.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=126
Biology B.S.	University of California, Los Angeles	The Biology major is designed for students with a broad interest in biology who desire to pursue careers in a wide range of biological and related fields. It provides students with excellent background preparation for postgraduate training in medicine and other health sciences, in tracks leading to academic and public service careers in biology, in biological industries, and even in nonbiological careers such as business, agriculture, and law. Emphasis is on breadth of training to expose students to all levels of modern biology.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=123
Biochemistry B.S.	University of California, Los Angeles	The Biochemistry major is for students preparing for careers in biochemistry or other fields requiring extensive preparation in both chemistry and biology.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=111
Mathematics/Atmospheric & Oceanic Sciences B.S.	University of California, Los Angeles	The Mathematics/Atmospheric and Oceanic Sciences B.S. degree program is designed for students who have an interest in and talent for both subjects. Students completing the major are well-qualified for graduate study in the most demanding graduate programs in atmospheric sciences, oceanic sciences, or applied mathematics. Postgraduate training leads to employment at a professional level in academia, government, or private enterprise. Opportunities outside academia include environmental agencies, consulting companies, and governmental agencies such as NASA, National Oceanic and Atmospheric Administration (NOAA), National Center for Atmospheric Research (NCAR), Department of Energy (DOE), and the military, the Air Force and Navy in particular.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=54B
Atmospheric and Oceanic Sciences B.S.	University of California, Los Angeles	The Atmospheric and Oceanic Sciences/Mathematics major is a designated capstone major. Students acquire experience in conceiving and executing research projects designed to evaluate hypotheses and complete an individual project or thesis selected with the assistance of the program advisers and faculty mentor. The topic should reflect integrative application of mathematics to atmospheric and oceanic sciences. Students are expected to prepare a significant independent piece of work that applies knowledge gained in their coursework in a new and unique way.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=589
Astrophysics B.S.	University of California, Los Angeles	Since the time of the ancient Greeks, a natural affinity has existed between astronomy and physics, and the intellectual development of the two disciplines has often proceeded synergistically. The Department of Physics and Astronomy faculty members and students are able to study the universe in the holistic manner which is demanded by the breadth of these two disciplines.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=101
Asian Studies B.A.	University of California, Los Angeles	The Asian Studies major allows students to analyze the area or a subregion (e.g., Central Asia, East Asia, South Asia, Southeast Asia) from an interdisciplinary and modern perspective. The major seeks to ground students in broad international issues that they can then use to focus on particular concerns of that part of the world.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=241
Asian Religions B.A.	University of California, Los Angeles	Asian Religions majors choose their main language concentration in Chinese, Japanese, Korean, South Asian, or Southeast Asian languages, while simultaneously acquiring broad cultural competence by taking courses in religion from at least four countries or areas across Asia. This provides them with a combination of strong language skills and the ability to analyze and interpret multiple religious traditions in a part of the world where religion still matters enormously in many facets of life. Students who complete this major have the linguistic and cultural competence to work in various fields related to Asia, including business, finance, trade, journalism, diplomacy, cultural institutions and non-profit organizations, education, and academia.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=443
Asian Humanities B.A.	University of California, Los Angeles	Asian Humanities majors choose their main language concentration in Chinese, Japanese, Korean, South Asian, or Southeast Asian languages, while simultaneously acquiring broad cultural competence by taking courses from at least four countries or areas across Asia. This provides students with a combination of strong language skills and the knowledge necessary to engage with various aspects of multiple Asian societies. Students who complete this major have the linguistic and cultural competence to work in various fields related to Asia, including business, finance, trade, journalism, diplomacy, cultural institutions and non-profit organizations, education, and academia.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=442
Asian American Studies B.A.	University of California, Los Angeles	The BA program in Asian American Studies provides a general introduction for students who anticipate advanced work at the graduate level or careers in research, public service, and community work related to Asian and Pacific Islander Americans.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=100
Art History B.A.	University of California, Los Angeles	The emphasis of the art history major is to provide a humanistic and intellectual foundation for the historian through courses in history and theory. The undergraduate curriculum attempts to help students understand the visual arts in their historical context. Emphasis is placed on the arts as social, political, historical and religious contexts of the art; visual analysis is also stressed.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=093
Arabic B.A.	University of California, Los Angeles	The study of Arabic opens the door to the rich history and culture of the Middle East and North Africa. Classical Arabic is the language of religion. Modern standard Arabic is the language of formal culture and the communication media. The Arabic dialects are the language of daily life. The major in Arabic introduces students to each of these varieties of Arabic and to their respective literatures.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=081
Anthropology B.S.	University of California, Los Angeles	The major is designed for students interested in an anthropological understanding of human behavior. One of the strengths of anthropology is its cross-cultural holistic and integrative approach with many fields, such as biology, history, linguistics, the social sciences, and many of the humanities.	http://newstudents.ucla.edu/studyarea/?id=43
Anthropology B.A.	University of California, Los Angeles	The major gives an overview of human evolution and is designed to prepare students for careers in anthropology and the health sciences, including medicine, dentistry, public health, and nursing.	http://newstudents.ucla.edu/studyarea/?id=42
Ancient Near East and Egyptology B.A.	University of California, Los Angeles	The study of the ancient Near East provides students with language training in one ancient language and basic information about the ancient Near East as a whole. There are four options for a major in Ancient Near Eastern Civilizations: Mesopotamia, Egypt, Near Eastern archaeology and cultures, and biblical studies.	http://newstudents.ucla.edu/studyarea/?id=41
American Indian Studies B.A.	University of California, Los Angeles	The American Indian Studies BA program is designed to offer a coherent and comprehensive curriculum in American Indian cultures, societies, and contemporary issues in addition to valuable background in more traditional disciplines such as anthropology, art history, economics, education, history, law, linguistics, literature, sociology, and world arts and cultures. Students acquire a critical knowledge of the concepts, theories, and methods that have produced knowledge about American Indians in the traditional disciplines. Students are encouraged to develop a concentration—or special expertise—in these fields to accompany the major.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=030
African and Middle Eastern Studies B.A.	University of California, Los Angeles	The African and Middle Eastern Studies major allows students to analyze the area or a subregion (e.g., Middle east, North Africa, Arab states, sub-Saharan Africa) from an interdisciplinary and modern perspective. The major seeks to ground students in broad international issues that they can then use to focus on particular concerns of that part of the world.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=49B
Molecular, Cell, and Developmental Biology B.S.	University of California, Los Angeles	The Bachelor of Science degree in Molecular, Cell, and Developmental Biology (MCDB) is designed especially for students who intend to go on to postgraduate work in biology or medicine and for students aiming for entry-level positions in biotechnology-related fields. Students are exposed to basic biological and molecular concepts underlying recent technical advances in molecular, cell, and developmental biology of animals and plants. Areas of emphasis include cell biology, immunology, molecular biology, plant biology, developmental biology, and neurobiology, among others.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=644
Middle Eastern Studies B.A.	University of California, Los Angeles	The mission of the department is the discovery, interpretation, dissemination, and preservation of human values created over a period of five or more thousand years in an area that was the cradle of all civilization.	http://newstudents.ucla.edu/studyarea/?id=353
Microbiology, Immunology, and Molecular Genetics B.S.	University of California, Los Angeles	Undergraduate students majoring in Microbiology, Immunology, and Molecular Genetics prepare for careers in biomedical research, medicine, dentistry, or other health professions, biotechnology and genetic engineering, industrial microbiology, agricultural or environmental sciences, public health, and law or bioethics, among others. The courses presented by the department lead to a Bachelor of Science degree and depend heavily on preparation in the biological sciences, chemistry, physics, and mathematics.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=440
Financial Actuarial Mathematics B.S.	University of California, Los Angeles	The Financial Actuarial Mathematics major concerns the applications of mathematics to finance, the actuarial field, and related areas.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=08E
Mathematics B.S.	University of California, Los Angeles	The Mathematics major is designed for students whose basic interest is mathematics.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=540
Marine Biology B.S.	University of California, Los Angeles	The Marine Biology major is designed for students who wish to specialize in the area of marine sciences. Completion of this major provides students with both an excellent background in biology and specialization in various disciplines such as oceanography, subtidal and intertidal ecology, and physiology of marine organisms. Graduates are well prepared for postgraduate opportunities in the marine sciences, many other areas of biology, and medicine. The major provides valuable field experience with concomitant individual research opportunities in marine biology.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=537
Linguistics and Psychology B.A.	University of California, Los Angeles	The major combines the basic courses of the general linguistics program with that of psychology. Students are able to study and explain human and animal behavior, both normal and abnormal, as well as enrich their knowledge about the nature, grammar, and history of human language.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=518
Linguistics B.A.	University of California, Los Angeles	Linguistics is the scientific study of languages as a general phenomenon. It aims to help answer broad questions concerning the nature of human cognition and communication. Students will learn about language universals as well as the ways in which languages differ from one another in terms of their sound patterns, syntax, and the way they encode meaning. They will also learn about the linguistic theories explaining and constraining linguistic knowledge, informed in part by experimental investigations of child language acquisition and adult language processing. Successful graduates will receive a cognitive science education with a focus on language; they will develop skills in data analysis, analytic reasoning, and experimental methods.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=510
Latin American Studies B.A.	University of California, Los Angeles	The Latin American Studies major allows students to analyze the area or a subregion (e.g., Amazonia, Caribbean, Central America, South America, Southern Cone) from an interdisciplinary and modern perspective. The major seeks to ground students in broad international issues that they can then use to focus on particular concerns of that part of the world.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=498
Latin B.A.	University of California, Los Angeles	The major is committed to the study of the civilizations of ancient Rome and its contributions to the political, social, artistic, and intellectual development of the Western world. The area of inquiry spans more than two thousand years, from the art and archaeology of the Mediterranean Bronze Age (ca. 1700 B.C.E.) to the breakdown of the Roman empire in Late Antiquity (ca. 400 C.E.). The interdisciplinary nature of the program offers a broad range of courses in the fields of language, literature, religion, mythology, philosophy, political history, cultural studies, archaeology, art, and film. The study of the ancient Roman civilization affords an excellent and rewarding introduction to the humanities which challenges students to explore and evaluate all aspects of the human condition in society.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=495
Labor Studies BA	University of California, Los Angeles	The Labor Studies major offers an interdisciplinary approach to the study of inequality at work and in the community. The program prepares undergraduates for a wide range of careers including but not limited to labor relations; human resource management; human rights, labor and community organizing; business; law; domestic and international government work; nonprofit management; organizational leadership; economic forecasting; education; social work; and social welfare. To be admitted to the Labor Studies major, students must have a minimum grade point average of 2.5 and must have completed all non-language Labor Studies preparation for the major courses. Students must complete an application process, and file a petition to be admitted for the major at the program’s office.	http://newstudents.ucla.edu/studyarea/?id=36
Korean B.A.	University of California, Los Angeles	UCLA offers the widest range of undergraduate courses on Korea of any university in North America. In addition to achieving advanced levels of proficiency in modern spoken and written Korean, students are required to acquire broad and detailed knowledge of Korean literature, history, religion, linguistics, and popular culture. Students who complete this major have the linguistic and cultural competence to work in various fields related to Korea, including business, finance, trade, journalism, diplomacy, cultural institutions and non-profit organizations, education, and academia.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=818
Jewish Studies B.A.	University of California, Los Angeles	The Department of Near Eastern Languages and Cultures offers an undergraduate program in Jewish Studies. The major includes a Hebrew language component and emphasizes culture and history. The program provides a rich understanding of Jewish history, social and religious institutions, and literature in Hebrew and in translation.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=482
Japanese B.A.	University of California, Los Angeles	Japanese is a very popular major offering a broad range of courses in Japanese language, literature, linguistics, theater, religion, and film. Students are required to achieve advanced levels of proficiency in modern spoken and written Japanese, as well as broad and detailed knowledge of Japanese premodern, modern, and contemporary culture. Students who complete this major have the linguistic and cultural competence to work in various fields related to Japan, including business, finance, trade, journalism, diplomacy, cultural institutions and non-profit organizations, education, and academia.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=480
International Development Studies B.A.	University of California, Los Angeles	The curriculum introduces students to key theoretical debates around development and to detailed case studies of successful and failed interventions; and provides methodological training. Core and elective courses illuminate the extent to which realities that affect people often arise owing to economic class, gender, race, ethnicity, religion, migrant status and other identities, and investigate the impact of policy solutions and forms of citizen engagement on communities and the environment. Students are trained to both think critically about these issues and explore ways to engage with development work at home and abroad through experiential learning, internships, immersive study abroad programs, independent faculty-guided research, and collaborative group projects.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=991
Human Biology and Society, B.A.	University of California, Los Angeles	The Human Biology and Society majors provide a rigorous interdisciplinary education in current issues at the intersection of human biology, genetics, and society where bridging the institutional divide between the life sciences and human sciences (humanities and social sciences) is necessary.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=005J
History B.A.	University of California, Los Angeles	History is the study of the past of our own society and how it emerged out of the traditions that produced it. At the same time, self-knowledge for students of history comes not only from self-discovery, but from a comparison of their own tradition and experience with those of others. It is only by studying the history of other civilizations and cultures that we can hope to gain perspective on our own.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=429
Greek and Latin B.A.	University of California, Los Angeles	The major is committed to the study of the civilizations of ancient Greece and Rome and their contributions to the political, social, artistic, and intellectual development of the Western world. The area of inquiry spans more than two thousand years, from the art and archaeology of the Mediterranean Bronze Age (ca. 1700 B.C.E.) to the breakdown of the Roman empire in Late Antiquity (ca. 400 C.E.). The interdisciplinary nature of the program offers a broad range of courses in the fields of language, literature, religion, mythology, philosophy, political history, cultural studies, archaeology, art, and film. The study of the ancient Greek and Roman civilizations affords an excellent and rewarding introduction to the humanities which challenges students to explore and evaluate all aspectsof the human condition in society.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=625
Greek B.A.	University of California, Los Angeles	The Greek major is committed to the study of the civilizations of ancient Greece and its contributions to the political, social,artistic, and intellectual development of the Western world. The area of inquiry spans more than two thousand years, from the art and archaeology of the Mediterranean Bronze Age (ca. 1700 B.C.E.) to the Late Antiquity (ca. 400 C.E.). The interdisciplinary nature of the program offers a broad range of courses in the fields of language, literature, religion, mythology, philosophy, political history, cultural studies, archaeology, art, and film. The study of the ancient Greek civilization affords an excellent and rewarding introduction to the humanities which challenges students to explore and evaluate all aspects of the human condition in society.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=414
Global Studies B.A.	University of California, Los Angeles	The Global Studies major is designed to provide students with a rigorous interdisciplinary education in the major issues confronting today's globalized world, as well as its historical antecedents (most notably in the late-nineteenth century). The major features three thematic pillars that capture the principal dimensions of the unprecedented depth and breadth of interconnections among nation-states, ethnic and religious groups, and individuals. Culture and society courses concentrate on the tensions between local ways of life with deep historical, linguistic, ethnic, and religious roots and today's pressures for transnational cultures and multiple identities, fueled by the communication of ideas and the movement of people all around the world. Governance and conflict courses focus on challenges to the nation-state from forms of governance above (regional and global forms of governance) and below (autonomy and secessionist movements) and from security threats beyond interstate warfare (ethnic conflict, terrorism, civil wars). Markets courses address the interactions among global, regional, national, and subnational economic processes and market dynamics, their effects on different societies with respect to economic growth, poverty, inequality, and the interactions among market forces, political institutions, and public policy.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=492
Geophysics B.S.	University of California, Los Angeles	All of the majors offered in the Earth, Planetary, and Space Sciences Department are designated capstone majors. While the specific nature of the capstone experience varies by major, students are required to use skill and knowledge sets from previous coursework to complete a field-based research project from conception to written report. Projects must be placed into context within the current state of understanding, and results are presented at a research symposium or published as a brief report.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=0405
Geology B.S.	University of California, Los Angeles	Geology is concerned with the structure and evolution of the Earth, essentially the physical environment. The major entails the application of fundamental physics and chemistry to a broad subject area. At UCLA, some of the aspects that are emphasized include isotope and trace element analyses, petrology and mineralogy, sedimentology, structural geology and tectonophysics, seismology, and the Earth's interior.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=402
Geography B.A.	University of California, Los Angeles	The Geography major allows students to combine a broad background in the field with more specific interests and career goals. Students can select classes in several areas of geography such as urban, economic, cultural, environmental, physical, or biogeography. They should consult with the undergraduate adviser to plan a program suitable to their personal objectives.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=396
European Studies B.A.	University of California, Los Angeles	The European Languages and Transcultural Studies Major aims to equip students to appreciate the richness of European cultures, societies, and languages that are fundamental to understanding Europe, as well as other parts of the world. The program provides the opportunity to study this region from the vantage points of several disciplines in the humanities and social sciences, both historically and contemporary. It aims at breaking down the traditional distinctions between the eastern and western blocs in the light of important internal and global transformations that are happening in Europe today. This includes questions pertaining to cultural, economic, political and social structures, and intellectual life.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=762
Environmental Science B.S.	University of California, Los Angeles	The Environmental Science BS program represents strong collaboration between the Institute of the Environment and Sustainability and the departments of Atmospheric and Oceanic Sciences; Civil and Environmental Engineering; Earth, Planetary, and Space Sciences; Ecology and Evolutionary Biology; Environmental Health Sciences; and Geography. The program is designed for students who are deeply interested in the study of environmental science. There are two components to the program, and both must be completed to receive the degree. The first component, the Environmental Science major, requires completion of lower-division requirements grounded in basic natural sciences, a five-course upper-division environmental science requirement reflecting the disciplinary breadth of environmental science, three social sciences/humanities courses, participation in a sustainability-focused speaker series, and completion of an environmental science practicum. The second component is a minor or concentration in one of seven environmental science areas, each associated with a particular department. With assistance from IoES staff, students must formally apply to and be accepted by the associated department to receive the minor.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=0351
English B.A.	University of California, Los Angeles	The Bachelor of Arts degree in English has an optional concentration in creative writing for students who have been admitted to and completed three creative writing workshops in a single genre of either poetry or short story. Students are expected to meet with the undergraduate counselors and undergraduate faculty adviser to plan and follow a course of study that incorporates their interests and goals with the fulfillment of requirements for the degree.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=345
Economics B.A.	University of California, Los Angeles	The economics undergraduate program is designed for students who wish to gain a thorough understanding of both empirical and theoretical approaches to economics. Emphasis is on economic principles applied to resolving interpersonal conflicts of interest and coordinating productive activity in a world of scarce resources. Because students must gain a thorough theoretical and technical competence before extensive study of the applied specializations in the discipline, the analytic core of the major in Economics is closely structured. Some courses are appropriate for nonmajors, but the curriculum is most suitable for students who wish to make the study of economics the primary focus in their undergraduate education.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=246
Ecology, Behavior, and Evolution B.S.	University of California, Los Angeles	The Ecology, Behavior, and Evolution major is appropriate for students preparing for graduate study in ecology, behavior, and evolution or for employment in areas such as environmental biology, animal behavior, conservation, teaching, museum work, and governmental positions dealing with environmental issues of wide importance and impact. A strong field component involving study in terrestrial and marine locales such as coastal, desert, and mountain environments in California and the Southwest and in the Neotropics is required.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=122
Earth and Environmental Science B.A.	University of California, Los Angeles	The Bachelor of Arts program in Earth Sciences is intended to provide a broad background in Earth sciences that is especially appropriate for students intending to become K through 12 teachers in Earth, physical, or life sciences. It may also be of interest to students who plan careers in environmental sciences, law, government, business, journalism, public health, medicine, or dentistry. Those who intend to become professional geologists, geochemists, or geophysicists and/or to continue into graduate studies in Earth or space sciences are urged to pursue one of the B.S. degrees.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=01C
Theater B.A.	University of California, Los Angeles	The Theater BA provides students with a liberal arts education by combining critical study of theater and performance with experiential practice in one or more of its component parts. Students explore acting, design, directing, formal and textual analysis, playwriting, and production to build a foundation for future creative work. Specialized and advanced training is available to prepare students for a variety of careers, further training, or graduate study. At the upper-division level, students may choose from an array of advanced elective courses including those in acting, design and production, directing, musical theater, playwriting, theater history, and dramatic literature. Internships in areas such as producing and casting are also available.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=902
Film and Television B.A.	University of California, Los Angeles	The undergraduate Film and Television major encourages development of a personal vision that incorporates creative, practical, intellectual, and aesthetic values. Within the context of a liberal arts education, the program provides a broad background in the field and in the diversity of film and television practice, including courses in history and theory, critical thinking, animation, screenwriting, and the fundamentals of film, video, and television production.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=473
Public Affairs B.A.	University of California, Los Angeles	The world needs agents of social change whose passion to improve people’s lives is matched by the knowledge and skills to deliver results. UCLA’s Luskin School of Public Affairs will help cultivate this next generation of civic-minded leaders with a new undergraduate degree, launching in the fall of 2018. The B.A. in Public Affairs offers an in-depth and engaged educational experience with a clear public service ethos. Drawing from UCLA Luskin’s expansive resources in Public Policy, Social Welfare, and Urban Planning, the major combines critical thinking, social science methodology, and experiential learning, connecting the dots between theory and action.	http://newstudents.ucla.edu/studyarea/?id=418
Nursing - Prelicensure B.S.	University of California, Los Angeles	The focus of the prelicensure program is on the preparation of nurse generalists with special skills in primary, secondary, and tertiary prevention and care within an individual- and population-based context while developing the basics for a strong leadership role. Students learn the art and science of nursing using the latest research findings to guide their practice.	http://newstudents.ucla.edu/studyarea/?id=309
Global Jazz Studies B.A.	University of California, Los Angeles	The curriculum is designed around performance courses, musicianship and music theory, and a broad understanding of the historical and societal context of the development and advancement of jazz.	http://newstudents.ucla.edu/studyarea/?id=419
Music History and Industry B.A.	University of California, Los Angeles	The BA in Music History and Industry is not a technical or business degree; it is a liberal arts degree in musicology whose subject is the music industry, combining the focus on music as an art form with practical training and experiential learning based in the music industry. It includes courses that help students develop their skills in popular music creation and production as well as practical skills appropriate to the fiscal, entrepreneurial, and legal needs of the contemporary music world. A required internship in the Los Angeles music industry is a distinctive feature.	http://newstudents.ucla.edu/studyarea/?id=427
Music Education B.A.	University of California, Los Angeles	The department offers undergraduate and graduate training in Western classical music, with specialized undergraduate programs in music composition, education, and performance.	http://newstudents.ucla.edu/studyarea/?id=415
Musicology B.A	University of California, Los Angeles	The BA in Musicology appeals to undergraduate students with musical backgrounds whose interests and principal career goals lie in areas other than professional performance. This undergraduate program prepares students for graduate programs in music and related fields and offers training within the broader context of the humanities.	http://newstudents.ucla.edu/studyarea/?type=MAJ&code=584
